Content Name,File Name,Summary,Learning Outcomes,"##SUBSTITUTE(D2,CHAR(10),""."")UTE(D2,CHAR(10),""."")##"
Numeracy Entry Level 3 - Formulae,Formulae.zip,"Learn about formulae, solving problems with one, two or three stages of calculations, problems that use different operations and problems in a range of contexts. This course is ideal for intermediate learners. ","Solve problems with one, two or three stages of calculations
Solve problems that use different operations
Solve problems in a range of contexts","Solve problems with one, two or three stages of calculations.Solve problems that use different operations.Solve problems in a range of contexts"
"Maths Level 1 - Fractions, Decimals and Percentages","Fractions, Decimals and Percentages.zip","Learn about fractions, decimals and percentages to understand and use equivalences between common fractions, decimals and percentages. This course is ideal for beginners. ","Understand and use equivalences between common fractions, decimals and percentages","Understand and use equivalences between common fractions, decimals and percentages"
"Numeracy Entry Level 3 - Fractions, decimals and percentages","Fractions, decimals and percentages.zip","Learn about fractions, decimals and percentages, how to recognise and use equivalent forms of fractions, decimals and percentages and convert between fractions, decimals and percentages. This course is ideal for intermediate learners. ","Recognise and use equivalent forms of fractions, decimals and percentages
Convert between fractions, decimals and percentages","Recognise and use equivalent forms of fractions, decimals and percentages.Convert between fractions, decimals and percentages"
Numeracy Entry Level 3 - Fractions,Fractions.zip,"Learn about fractions, understanding that fractions are part of a whole, how to recognise fractions from shapes, express fractions in words and numbers and work out simple fraction problems. This course is ideal for intermediate learners. ","Understand that fractions are parts of a whole
Recognise fractions from shapes
Be able to express fractions in words and numbers
Be able to work out simple fraction problems",Understand that fractions are parts of a whole.Recognise fractions from shapes.Be able to express fractions in words and numbers.Be able to work out simple fraction problems
Maths GCSE Resits - Fractions,Fractions.zip,"Maths GCSE revision covering simplifying, ordering, multiplying, dividing, adding and subtracting fractions.","Demonstrate simplifying fractions and putting them in order
Be able to mulitiply, divide, add and subtract fractions
Identify the fraction of something
Know how to deal with mixed numbers","Demonstrate simplifying fractions and putting them in order.Be able to mulitiply, divide, add and subtract fractions.Identify the fraction of something.Know how to deal with mixed numbers"
"Numeracy Level 1 - Geometric diagrams, models and shapes","Geometric diagrams, models and shapes.zip","Learn about geometric diagrams, models and shapes and understand the difference between geometric shapes. This course is ideal for beginners. ","Understand the difference between geometric shapes
Distinguish between the dimensions
Classify 2D and 3D shapes according to their characteristics 
Identify tessellations and symmetry in the world",Understand the difference between geometric shapes.Distinguish between the dimensions.Classify 2D and 3D shapes according to their characteristics .Identify tessellations and symmetry in the world
Public Services Level 2 -Good Citizenship,Good Citizenship.zip,Learn more about what good citizenship entails. This course is ideal for intermediate learners.,"How you can show respect for others and yourself
How you can become a good citizen by participating in society and volunteering
The qualities of good citizenship",How you can show respect for others and yourself.How you can become a good citizen by participating in society and volunteering.The qualities of good citizenship
Public Services Level 3 - Government policies - funding cuts,Government Policies (Funding Cuts).zip,"Learn about Government policies, funding cuts and spending review. This course is ideal for intermediate learners.",Spending review and funding cuts,Spending review and funding cuts
Public Services Level 3 - UK Government policies that affect all the public service,Government policies that affect all public services.zip,"Learn about UK Government policites that affect all the public services, including, armed services and emergency services. This course is ideal for intermediate learners.","Government policies including: 
Policies that affect all the services
Policies that affect all the armed services
Policies that affect all the emergency services","Government policies including: .Policies that affect all the services.Policies that affect all the armed services.Policies that affect all the emergency services"
Maths GCSE Resits - Graph Basics,Graph Basics.zip,"Maths GCSE revision covering covering midpoint of lines, plotting, gradients and dealing with straight line graphs.","Understand coordinates
Be able to calculate the midpoint of lines
Be able to plot straight line graphs, calculate the gradients of straight line graphs and dealing with equations of straight line graphs","Understand coordinates.Be able to calculate the midpoint of lines.Be able to plot straight line graphs, calculate the gradients of straight line graphs and dealing with equations of straight line graphs"
Numeracy Entry Level 3 - Graphs & Charts,Graphs and charts.zip,"Learn about graphs and charts, how data can be presented in different ways using graphs and charts and how to extract information from a range of graphs and charts. This course is ideal for intermediate learners. ","Understand that data can be presented in different ways using graphs and charts
Be able to extract information from a range of graphs and charts","Understand that data can be presented in different ways using graphs and charts.Be able to extract information from a range of graphs and charts"
Health and Safety,Introduction To Health And Safety.zip,Learn about health and safety in health and care. This course is ideal for intermediate learners.,"Introduction to Health and Safety 
Health and Safety Policies 
Health and Safety Responsibilities 
Introduction to Health and Safety Legislation 
Personal Protective Equipment 
","Introduction to Health and Safety .Health and Safety Policies .Health and Safety Responsibilities .Introduction to Health and Safety Legislation .Personal Protective Equipment ."
Public Services Level 3 - HM Inspectorates,HM Inspectorates.zip,Learn about HM Inspectorates. This course is ideal for intermediate learners.,"Her Majesty's Inspectorate of Constabulary and Fire & Rescue Service (HMICFRS)
Her Majesty's Inspectorate of Prisons for England and Wales (HMI Prisons)
Her Majesty's Inspectorate of Probation
Independent Police Complaints Commission
Care Quality Commission
United Kingdom Security Vetting (UKSV)",Her Majesty's Inspectorate of Constabulary and Fire & Rescue Service (HMICFRS).Her Majesty's Inspectorate of Prisons for England and Wales (HMI Prisons).Her Majesty's Inspectorate of Probation.Independent Police Complaints Commission.Care Quality Commission.United Kingdom Security Vetting (UKSV)
Public Services Level 3 - Home Office,Home Office.zip,"Learn about Home Office, the role and responsibilities of the Home Office and the impact of the Home Office on public services. This course is ideal for intermediate learners.","Understand the role and responsibilities of the Home Office
Consider the impact of the Home Office on public services",Understand the role and responsibilities of the Home Office.Consider the impact of the Home Office on public services
Literacy Entry Level 3 - Homonyms,Homonyms.zip,"Learn about homonyms, what homonyms and homophones are, the difference between them and the most common homonyms in English. This course is ideal for intermediate learners. ","Understand  what homonyms are
Understand what homophones are
Know the difference between homonyms and homophes
Know several of the most common homonyms in English","Understand  what homonyms are.Understand what homophones are.Know the difference between homonyms and homophes.Know several of the most common homonyms in English"
Public Services Level 2 -How public services are affected by changes in society,How public services are affected by changes in society.zip,Learn more about how public services are affected by changes in society. This course is ideal for intermediate learners. ,"Population growth
Changes in use and levels
Strains on Public Services
Attitudes towards Public Services",Population growth.Changes in use and levels.Strains on Public Services.Attitudes towards Public Services
Public Services Level 2 -How Public Services meet the needs of Society,How public services meet the needs of society.zip,"Learn more about the role of the public sector in areas such as education, criminal justice and leisure. This course is ideal for intermediate learners. ","Education
Health
Criminal justice
Environment services
Leisure
Social welfare 
","Education.Health.Criminal justice.Environment services.Leisure.Social welfare ."
Public Services Level 2 - How Surveillance is Used by Different Public Services,How Surveillance is Used by Different Public Services.zip,Learn more about how individuals and society are defended and protected. This course is ideal for intermediate learners. ,"What is surveillance?
Why do we need surveillance?
How is surveillance used?",What is surveillance?.Why do we need surveillance?.How is surveillance used?
How to Use an Online Job Board,How to Use an Online Job Board.zip,Learn about what an online job board is and how it can be useful to you in your job hunt. This course is suitable for everyone.,"Know what an online job board is
Know the benefits of using an online job board
Understand how to use an online job board",Know what an online job board is.Know the benefits of using an online job board.Understand how to use an online job board
Public Services Level 2 -Human Rights and Public Services,Human Rights and Public Services.zip,Learn about the Human Rights Act 1998 and other legislation to protect your rights as a citizen. This course is ideal for intermediate learners. ,"Human Rights Act 1998
Other legislation (law) that protect your rights as a UK citizen",Human Rights Act 1998.Other legislation (law) that protect your rights as a UK citizen
Public Services Level 2 -Human Rights,Human Rights.zip,Learn about human rights. This course is ideal for intermediate learners. ,"The history and development of human rights in Europe and the UK
Aspects of the law that protect human rights in the UK",The history and development of human rights in Europe and the UK.Aspects of the law that protect human rights in the UK
English Level 2 - Hyphens and Dashes,Hyphens and Dashes.zip,Learn about hyphens and dashes and how and when they can be used. This course is ideal for intermediate learners. ,"Using hyphens to link compound words and numbers
Using hyphens to clarify words that use prefixes
Using hyphens to write fractions
Using dashes to add comments as part of informal writing
Using dashes to indicate range","Using hyphens to link compound words and numbers.Using hyphens to clarify words that use prefixes.Using hyphens to write fractions.Using dashes to add comments as part of informal writing.Using dashes to indicate range"
Identifying Your Transferable Skills,Identifying Your Transferable Skills.zip,Learn about your skills and which are transferable. This course is suitable for everyone.,"Know how to identify the skills you have
Understand which skills are transferable
Know how to use transferable skills in practice",Know how to identify the skills you have.Understand which skills are transferable.Know how to use transferable skills in practice
Public Services Level 2 -Impact of Public Services on Society,Impact of Public Services on society.zip,Learn about how public services are paid for and their impact on society. This course is ideal for intermediate learners. ,"Paying for public services
How public services are used
Reforming public services",Paying for public services.How public services are used.Reforming public services
Numeracy Level 1 - Imperial units of measurement,Imperial units of measurement.zip,Learn about imperial units of measurement and understand what the imperial system is. This course is ideal for beginners. ,"Understand what the imperial system is
Define a unit of measurement
Use length, weight and capacity correctly
Identify and use the units of measurement of the imperial system and their conversions 
Convert correctly between the imperial and metric units of measurement","Understand what the imperial system is.Define a unit of measurement.Use length, weight and capacity correctly.Identify and use the units of measurement of the imperial system and their conversions .Convert correctly between the imperial and metric units of measurement"
Public Services Level 3 - Independent Police Complaints Commission,Independent Police Complaints Commission.zip,"Learn about Independent Police Complaints Comission, what the Independent Police Complaints Comission does and how the Independent Police Complaints Commision holds the police accountable. This course is ideal for intermediate learners.","Know what the Independent Police Complaints Commission does
Understand how the Independent Police Complaints Commission holds the police accountable",Know what the Independent Police Complaints Commission does.Understand how the Independent Police Complaints Commission holds the police accountable
Public Services Level 2 -Individual Rights - Your dignity,Individual Rights (Your Dignity).zip,Learn more about dignity and rights when using public services. This course is ideal for intermediate learners. ,"Public services users rights
Your right to consent to treatment when using the NHS
Why it is important to have your dignity maintained when using public services
","Public services users rights.Your right to consent to treatment when using the NHS.Why it is important to have your dignity maintained when using public services."
Public Services Level 2 -Individual Rights - Equality and Discrimination,Individual Rights (Equality And Discrimination).zip,Learn more about the right of public service users and why they are important. This course is ideal for intermediate learners. ,"Public services users rights
The importance of high quality public services and examples of this
Why it is important to be treated without discrimination when using public services
","Public services users rights.The importance of high quality public services and examples of this.Why it is important to be treated without discrimination when using public services."
Public Services Level 2 -Inequality,Inequality.zip,"Learn about inequalities in society including poverty, health and age. This course is ideal for intermediate learners. ","What is inequality in society
Inequality in economic status
How economic inequality is measured
The meaning of poverty
inequality in health
Inequality in age","What is inequality in society.Inequality in economic status.How economic inequality is measured.The meaning of poverty.inequality in health.Inequality in age"
Infection,Infection In Health And Social Care.zip,Learn about the different types of infection in health and care. This course is ideal for intermediate learners.,"Causes of Infection 
Infection Safety 
The Spread of Infection ","Causes of Infection .Infection Safety .The Spread of Infection "
Literacy Entry Level 3 - Informal letter writing,Informal Letter Writing.zip,"Learn about informal letter writing, what informal letters are, when informal letters are used and the type of language used for them. This course is ideal for intermediate learners. ","Know what informal letters are
Know when informal letters are used
Understand the type of language used for informal letters",Know what informal letters are.Know when informal letters are used.Understand the type of language used for informal letters
Numeracy Level 1 - Interpret graphical data to solve real-life problems,Interpreting Graphical Data To Solve Real-Life Problems.zip,Learn about interpretting graphical data to solve real-life problems. This course is ideal for beginners. ,"Use basic mathematical operations in order to solve real-life problems 
Be in control of your expenses
Manage your schedule ",Use basic mathematical operations in order to solve real-life problems .Be in control of your expenses.Manage your schedule 
Maths Level 1 - Introduction to Fractions,Introduction to fractions.zip,"Learn about an introduction to fractions, specifically recognising fractions from shapes, expressing fractions in words and numbers and working out simple fraction problems. This course is ideal for beginners. ","Recognise fractions from shapes
Express fractions in words and numbers
Work out simple fraction problems",Recognise fractions from shapes.Express fractions in words and numbers.Work out simple fraction problems
Public Services Level 3 - Introduction to Levels of Government,Introduction to Levels of Government.zip,Learn about an introduction to levels of government and outlining the responsibilities of the different levels of government in the UK. This course is ideal for intermediate learners.,Outline the responsibilities of the different levels of government in the UK,Outline the responsibilities of the different levels of government in the UK
Numeracy Level 1 - Length and distance,Length and Distance.zip,Learn about length and distance and understand the terms length and distance. This course is ideal for beginners. ,"Understand the terms length and distance
Use the appropriate units of measurement for length
Make conversions between the units of measurement for length
Identify and use correctly the appropriate instrument of measurement
Read and use distance tables",Understand the terms length and distance.Use the appropriate units of measurement for length.Make conversions between the units of measurement for length.Identify and use correctly the appropriate instrument of measurement.Read and use distance tables
Numeracy Entry Level 3 - Length & Distance,Length and Distance.zip,Learn about length and distance and understanding the difference between standard and non-standard units of measurement for length and distance. This course is ideal for intermediate learners. ,"Understand the difference between standard and non-standard units of measurement for length and distance
Understand standard units of measurement for length and distance, including metric and imperial units
Be able to choose appropriate units of measurement and measuring equipment
Be able to measure the lengths of objects accurately","Understand the difference between standard and non-standard units of measurement for length and distance.Understand standard units of measurement for length and distance, including metric and imperial units.Be able to choose appropriate units of measurement and measuring equipment.Be able to measure the lengths of objects accurately"
Maths Level 1 - Line Graphs,Line Graphs.zip,"Learn about line graphs, specifically extracting and interpeting information from line graphs. This course is ideal for beginners. ",Extract and interpret information from line graphs,Extract and interpret information from line graphs
Maths GCSE Resits - Lines and Angles,Lines and Angles.zip,"Maths GCSE revision covering angle rules, notation, measuring and drawing angles.","Recognise different types of angles
Understand angle notation
Be able to measure and draw angles
Apply angle rules concerning triangles and parallel lines",Recognise different types of angles.Understand angle notation.Be able to measure and draw angles.Apply angle rules concerning triangles and parallel lines
English Level 2 - Linking Ideas in Essays,Linking Ideas in Essays.zip,"Learn about linking ideas, words and phrases in essays and the purpose and examples of doing so. This course is ideal for intermediate learners. ","Linking words and phrases
The purpose of linking words and phrases 
Examples of linking words and phrases",Linking words and phrases.The purpose of linking words and phrases .Examples of linking words and phrases
Numeracy Level 1 - Lists and tables ,Lists and Tables.zip,,,
Numeracy Entry Level 3 - Lists & Tables,Lists and Tables.zip,"Learn about lists and tables, understanding how lists and tables are used in everyday life, how to extract information from lists and tables and carry out simple calculations using information form lists and tables. This course is ideal for intermediate learners. ","Understand how lists and tables are used in everyday life
Be able to extract information from lists and tables
Be able to carry out simple calculations using information form lists and tables","Understand how lists and tables are used in everyday life.Be able to extract information from lists and tables.Be able to carry out simple calculations using information form lists and tables"
Public Services Level 3 - Local Authorities,Local Authorities.zip,Learn about local authorities and understanding the hierarchy of central government. This course is ideal for intermediate learners.,"Understand the hierarchy of central government
Identify the different forms of local government and list some of the responsibilities of each
Conduct research into your local council",Understand the hierarchy of central government.Identify the different forms of local government and list some of the responsibilities of each.Conduct research into your local council
Numeracy Level 1 - Managing data in real life context,Managing data in real life context.zip,Learn about managing data in real life context and how understanding data helps us to make decisions. This course is ideal for beginners. ,"How understanding data helps us to make decisions
Questionnaires and how to ask the right questions
Recognising the types of data used
Interpreting the information given in tables and charts
Using data in everyday tasks - range and mean",How understanding data helps us to make decisions.Questionnaires and how to ask the right questions.Recognising the types of data used.Interpreting the information given in tables and charts.Using data in everyday tasks - range and mean
Numeracy Level 1 - Managing shape and space in real life context,Managing shape and space in real life context.zip,Learn about managing shape and space in real life context. This course is ideal for beginners. ,"Work out the perimeter of simple shapes
Work out the area of rectangles
Work out the volume of simple solids
Identify acute, right and obtuse angles
Identify the lines of symmetry on a shape
Identify shapes which tessellate ","Work out the perimeter of simple shapes.Work out the area of rectangles.Work out the volume of simple solids.Identify acute, right and obtuse angles.Identify the lines of symmetry on a shape.Identify shapes which tessellate "
Numeracy Level 1 - Managing money in the real world,Managing money in the real world.zip,Learn about managing money in the real world. This course is ideal for beginners. ,"Comparing the hours worked to wage per house
Making sense of the units when comparing prices
Choosing a job and working out the paper per week/month
Planning your household budget and savings",Comparing the hours worked to wage per house.Making sense of the units when comparing prices.Choosing a job and working out the paper per week/month.Planning your household budget and savings
Numeracy Level 1 - Maps and Plans,Maps and Plans.zip,Learn about maps and plans and understand what a map and its key elements are. This course is ideal for beginners. ,"Understand what a map and its key elements are
Distinguish between different types of maps
Use plans when needed
Work out scale conversions on maps and plans ",Understand what a map and its key elements are.Distinguish between different types of maps.Use plans when needed.Work out scale conversions on maps and plans 
Numeracy Entry Level 3 - Maps & Plans,"Maps, Diagrams and Plans.zip","Learn about maps and plans, different types of maps, diagrams and plans, the labels and scales used on maps and plans and how to calculate the distance between points on a map of plan using scale. This course is ideal for intermediate learners. ","Understand different types of maps, diagrams and plans
Understand the labels and scales used on maps and plans
Be able to calculate the distance between points on a map or plan using a scale","Understand different types of maps, diagrams and plans.Understand the labels and scales used on maps and plans.Be able to calculate the distance between points on a map or plan using a scale"
Literacy Entry Level 3 - Metaphors and similes ,Metaphores and Similes.zip,"Learn about metaphors and similes, what figurative language is, what a metaphor and simile is and how and when we use them. This course is ideal for intermediate learners. ","Understand what figurative language is
Know what a metaphor is
Know what a simile is
Understand how and when we use metaphors and similes","Understand what figurative language is.Know what a metaphor is.Know what a simile is.Understand how and when we use metaphors and similes"
Public Services Level 3 - Migration - case study,Migration case study.zip,"Learn about migration, case study, key features of the Mirgation Policy and how migration and the related policies affect the Public Services. This course is ideal for intermediate learners.","Outline the key features of the Migration Policy
Explain how migration and the related policies affect the Public Services",Outline the key features of the Migration Policy.Explain how migration and the related policies affect the Public Services
Public Services Level 3 - Ministry of Defence,Ministry of Defence.zip,"Learn about the Ministry of Defence, the role and responsibilities of the Ministry of Defence and the impact of the Ministry of Defence on public services. This course is ideal for intermediate learners.","Understand the role and responsibilities of the Ministry of Defence 
Have considered the impact of the Ministry of Defence on public services",Understand the role and responsibilities of the Ministry of Defence .Have considered the impact of the Ministry of Defence on public services
Public Services Level 3 - Ministry of Justice,Ministry of Justice.zip,"Learn about the Ministry of Justice, the role and responsibilities of the Ministry of Justice and the impact of the Ministry of Justice on public services. This course is ideal for intermediate learners.","Understand the role and responsibilities of the Ministry of Justice
Have considered the impact of the Ministry of Justice on publice services",Understand the role and responsibilities of the Ministry of Justice.Have considered the impact of the Ministry of Justice on publice services
Maths GCSE Resits - Money and Conversions,Money and Conversions.zip,"Maths GCSE revision of simple and compound interest, converting units and currency and conversion graphs.","Demonstrate calculations of simple and compound interest
Convert units and currency
Apply conversion graphs to solve problems",Demonstrate calculations of simple and compound interest.Convert units and currency.Apply conversion graphs to solve problems
Maths Level 1 - Money,Money.zip,"Learn about money, specifically solving problems requiring calculations with money. This course is ideal for beginners. ",Solve problems requiring calculation with money ,Solve problems requiring calculation with money 
Numeracy Entry Level 3 - Money,Money.zip,"Learn about money, how to read, write and express money amounts, write money using word and decimal notation and complete simple calculations involving money. This course is ideal for intermediate learners. ","Read, write and express money amounts 
Write money using word and decimal notation
Complete simple calculations involving money","Read, write and express money amounts .Write money using word and decimal notation.Complete simple calculations involving money"
English Level 2 - Monologues,Monologues.zip,"Learn about monologues, the different types and writing a monologue. This course is ideal for intermediate learners. ","Types of monologue
Dramatic monologues
Key features of a dramatic monologue
Key features of an interior monologue
Writing a monologue",Types of monologue.Dramatic monologues.Key features of a dramatic monologue.Key features of an interior monologue.Writing a monologue
Maths GCSE Resits - More Graphs,More Graphs.zip,"Maths GCSE revision covering  travel, conversion, quadratic and cubic graphs.","Apply travel and conversion graphs to solve problems
Be able to plot and identify quadratic and cubic graphs",Apply travel and conversion graphs to solve problems.Be able to plot and identify quadratic and cubic graphs
Maths GCSE Resits - More Numbers,More Numbers.zip,"Maths GCSE revision covering number patterns/sequences, LCM, HCF, powers, index form and prime factors","Solve number patterns and sequences
Be able to identify the lowest common multiple and highest common factor
Solve problems using powers and index form
Apply prime factors to problems",Solve number patterns and sequences.Be able to identify the lowest common multiple and highest common factor.Solve problems using powers and index form.Apply prime factors to problems
Maths GCSE Resits - More Statistics,More Statistics.zip,"Maths GCSE revision covering frequency tables, grouped frequency tables, frequency diagrams and frequency polygons.","Be able to understand and apply frequency tables, grouped frequency tables, frequency diagrams and frequency polygons to solve problems.","Be able to understand and apply frequency tables, grouped frequency tables, frequency diagrams and frequency polygons to solve problems."
Moving and Handling,Moving And Handling People And Objects.zip,Learn about moving and handling people in health and care. This course is ideal for intermediate learners.,"What moving and handling is
The importance of moving and handling
Legislation
Training
Pre-handling assessment for people
Pre-handling assessment for objects
Safe lifting
Good handling techniques
",What moving and handling is.The importance of moving and handling.Legislation.Training.Pre-handling assessment for people.Pre-handling assessment for objects.Safe lifting.Good handling techniques.
Numeracy Level 1 - Multiples and factors,Multiples and factors.zip,Learn about multiples and factors. This course is ideal for beginners. ,"Identify the factor in a multiplication equation
Identify the multiple in a multiplication equation
Find the least common multiple between two numbers
Find all the factors of a multiple
Find the highest common factor of two numbers",Identify the factor in a multiplication equation.Identify the multiple in a multiplication equation.Find the least common multiple between two numbers.Find all the factors of a multiple.Find the highest common factor of two numbers
Maths Level 1 - Multiplication,Multiplication.zip,"Learn about multiplication, specifically multiplying whole numbers using a range of strategies and multipying decimals of up to two decimal places by 10, 100 and 1000. This course is ideal for beginners. ","Multiply whole numbers using a range of strategies
Multiply decimals of up to two decimal places by 10,100 and 1000","Multiply whole numbers using a range of strategies.Multiply decimals of up to two decimal places by 10,100 and 1000"
Numeracy Entry Level 3 - Multiplication,Multiplication.zip,Learn about multiplication and understand that multiplication is a method of repeated addition. This course is ideal for intermediate learners. ,"Understand that mulitplication is a method of repeated addition
Be able to use a range of mulitplication methods
Understand how to use place value shortcuts to muplitply by 10, 100 and 1,000
Be able to solve multiplication problems in everyday settings","Understand that mulitplication is a method of repeated addition.Be able to use a range of mulitplication methods.Understand how to use place value shortcuts to muplitply by 10, 100 and 1,000.Be able to solve multiplication problems in everyday settings"
English Level 2 - Nouns and Pronouns,Nouns and Pronouns.zip,Learn about nouns and pronouns and the different types. This course is ideal for intermediate learners.,"Nouns 
Concrete nouns
Abstract nouns
Proper nouns
Common nouns
Pronouns",Nouns .Concrete nouns.Abstract nouns.Proper nouns.Common nouns.Pronouns
Literacy Entry Level 3 - Nouns,Nouns.zip,"Learn about nouns and what they are, how they can be used, the difference between compound and proper rounds, how to make a compound noun, what collective nouns are and what pronouns are and how they are used. This course is ideal for intermediate learners. ","Understand what a noun is
Know how nouns can be used
Understand the difference between compound and proper nouns
Understand  how to make a compound noun
Understand what collective nous are
Understand what pronouns are and how they are used",Understand what a noun is.Know how nouns can be used.Understand the difference between compound and proper nouns.Understand  how to make a compound noun.Understand what collective nous are.Understand what pronouns are and how they are used
Maths GCSE Resits - Numbers,Numbers.zip,"Maths GCSE revision covering using number lines, different types of numbers and applying BODMAS.","Demonstrate how to solve problems using a number line
Understand different types of numbers
Apply BODMAS to calculations",Demonstrate how to solve problems using a number line.Understand different types of numbers.Apply BODMAS to calculations
Maths GCSE Resits - Numeracy Basics,Numeracy Basics.zip,"Maths GCSE revision covering the place value of numbers, using times tables and calculating without a calculator.","Recognise the place value of numbers
Use times tables to solve questions
Demonstrate multiplying and dividing by 10, 100 and 1000
Demonstrate addition, subtraction, multiplication and division without the use of a calculator","Recognise the place value of numbers.Use times tables to solve questions.Demonstrate multiplying and dividing by 10, 100 and 1000.Demonstrate addition, subtraction, multiplication and division without the use of a calculator"
English Level 2 - Paragraphs,Paragraphs.zip,Learn about paragraphs and how and when to use them correctly. This course is ideal for intermediate learners. ,"Organising paragraphs
When to start a new paragraph
Paragraph structure
Paragraph content
Unity in paragraphs",Organising paragraphs.When to start a new paragraph.Paragraph structure.Paragraph content.Unity in paragraphs
Literacy Entry Level 3 - Paragraphs,Paragraphs.zip,"Learn about paragraphs, what it is and how they are used in fiction and non-fiction. This course is ideal for intermediate learners. ","Know what a paragraph is
Understand how paragraphs are used in fiction
Understand how paragraphs are used in non-fiction",Know what a paragraph is.Understand how paragraphs are used in fiction.Understand how paragraphs are used in non-fiction
Spelling Punctuation and Grammar Level 2 - Parts of Speech,Parts of Speech.zip,Learn about parts of speech. This course is ideal for intermediate learners.,"Subjects and objects
nouns and pronouns
Verbs
Adjectives and adverbs
Articles
Connectives",Subjects and objects.nouns and pronouns.Verbs.Adjectives and adverbs.Articles.Connectives
Spelling Punctuation and Grammar Level 2 - Sentence types - active and passive voice,Passive and Active Voice.zip,"Learn about sentence types, specifically active and passive voice. This course is ideal for intermediate learners.","Definition of the active and passive voice
Subject and verb recap
Sentence structure in the passive voice
Practice with past participles
Different uses of the passive voice
Practical exercises",Definition of the active and passive voice.Subject and verb recap.Sentence structure in the passive voice.Practice with past participles.Different uses of the passive voice.Practical exercises
Numeracy Level 1 - Pen and paper calculations,Pen and paper calculations.zip,Learn about pen and paper calculations. This course is ideal for beginners. ,"Perform addition, subtraction, multiplication and division using a pen and paper
Perform calculations without using a calculator ","Perform addition, subtraction, multiplication and division using a pen and paper.Perform calculations without using a calculator "
Maths Level 1 - Percentages,Percentages.zip,"Learn about percentages, specifically solving simple percentage problems, understanding and using equivalences between common fractions and percentages. This course is ideal for beginners. ","Solve simple percentage problems
Understand and use equivalences between common fractions and percentages",Solve simple percentage problems.Understand and use equivalences between common fractions and percentages
Numeracy Level 1 - Percentages,Percentages.zip,"Learn about percentages, understanding the origin and the meaning of the word percentage and how to calculate them. This course is ideal for beginners. ","Understand the origin and the meaning of the word percentage
Calculate percentages in 100 grid tables
Understand the relationship between percentages and fractions
Understand the relationship between percentages and decimals
Convert between percentages, fractions and decimals 
Solve percentage-related real life problems ","Understand the origin and the meaning of the word percentage.Calculate percentages in 100 grid tables.Understand the relationship between percentages and fractions.Understand the relationship between percentages and decimals.Convert between percentages, fractions and decimals .Solve percentage-related real life problems "
Numeracy Entry Level 3 - Percentages,Percentages.zip,"Learn about percentages, solving simple percentages problems and how to use equivalences between common fractions and percentages. This course is ideal for intermediate learners. ","Solve simple percentage problems
Understand and use equivalences between common fractions and percentages",Solve simple percentage problems.Understand and use equivalences between common fractions and percentages
Maths GCSE Resits - Percentages,Percentages.zip,"Maths GCSE revision of increasing/decreasing by percentages, and expressing percentages as fractions/decimals.","Identify how to find percentages of numbers
Be able to increase and decrease by a percentage
Demonstrate how to express numbers as percentages of other numbers and converting percentages to fractions and decimals",Identify how to find percentages of numbers.Be able to increase and decrease by a percentage.Demonstrate how to express numbers as percentages of other numbers and converting percentages to fractions and decimals
Numeracy Entry Level 3 - Perimeter,Perimeter.zip,"Learn about perimeter, what it is, understand units of length used to measure preimeter and how to use different methods to find the perimeter of a range of shapes. This course is ideal for intermediate learners. ","Know what perimeter is
Understand units of length used to measure perimeter
Be able to use different methods to find the perimeter of a range of shapes","Know what perimeter is.Understand units of length used to measure perimeter.Be able to use different methods to find the perimeter of a range of shapes"
Maths Level 1 - Perimeters,Perimeters.zip,"Learn about perimeters, specifically working out the perimeter of regular and irregular polygons and working out perimeters in practical situations. This course is ideal for beginners. ","Work out the perimeters of regular and irregular polygons
Work out perimeters in practical situations",Work out the perimeters of regular and irregular polygons.Work out perimeters in practical situations
Maths Level 1 - Pie Charts,Pie Charts.zip,"Learn about pie charts, specifically extracting and interpreting information from a pie chart and converting data from a table to a pie chart. This course is ideal for beginners. ","Extract and interpret information from a pie chart
Convert data from a table to a pie chart ",Extract and interpret information from a pie chart.Convert data from a table to a pie chart 
Numeracy Entry Level 3 - Place values and number symbols,Place values and number symbols.zip,Learn about place values and number symbols and understanding the meaning of place values. This course is ideal for intermediate learners. ,"Understand the meaning of place values
Know how zero is used as a placeholder
Be able to write numbers in words and figures
Be able to use place value to read numbers written in figures
Be able to use place value to place numbers in order","Understand the meaning of place values.Know how zero is used as a placeholder.Be able to write numbers in words and figures.Be able to use place value to read numbers written in figures.Be able to use place value to place numbers in order"
English Level 2 - Planning a Speech,Planning a Speech.zip,Learn how to effectively and successfully plan a speech and how to do so. This course is ideal for intermediate learners. ,"Structing your speech
Introduction
Main body
Conclusion
Audio and visual aids
Tips for using visual aids
Principles of using audio and visual aids ",Structing your speech.Introduction.Main body.Conclusion.Audio and visual aids.Tips for using visual aids.Principles of using audio and visual aids 
Literacy Entry Level 3 - Planning your writing,Planning Your Writing.zip,"Learn about planning your writing, why it is important, how to write a good and useful story plan and how to use these planning tips for other types of writing. This course is ideal for intermediate learners. ","Understand why planning your writing is improtant
How how to write a good and useful story plan
Know how to use these planning tips for other types of writing","Understand why planning your writing is improtant.How how to write a good and useful story plan.Know how to use these planning tips for other types of writing"
